text	label
每天 7 点 的 那个 提醒 关掉 吧	4
章子怡 的 首部 电视剧 的 幕后 花絮 放 来看 一下	0
开封 这 15 日内 的 穿衣 指数 怎么样 呢	6
你 给 我定 一个 星期六 下午 六点 的 闹钟	4
能 不能 给 我 重新 播放 2012 年 伦敦 奥运会 1500 米 游泳 孙杨 击败 霍顿 夺冠 的 视频	0
给 我 找个 雨果 的 小说 来放	9
天气 好 干 ， 湿度器 升到 70 吧	2
明天 10 点 闹钟 你 给 我定 好了吗	4
五一 下午 2 点去 王府井 逛街 的 闹钟 定 一下 。	4
能 不能 给 我 播放 一下 2021 世界 女排 联赛 土耳其 对 塞尔维亚 的 比赛 视频	0
立即 告诉 我 明天 的 农历 是 多少 啊	8
明天 上午 所有 的 闹钟 你 帮 我 打开 了 吗	4
去查 一查 汉中 开来 的 磁悬浮列车 是 今天 的 吗	7
90 年代 比较 搞笑 的 歌曲 来 一些 听听	1
把 抽烟 机 的 档位 调大 一些	2
能 把 去 海边 的 最快 路线 给 我 吗	7
查询 台湾 的 空气质量 怎么样	6
哎 空调 冷风 给 我 打开	2
现在 请 播放 宇尘 的 悬疑 小说 无罪 谋杀	9
可以 查询 到 邵通 的 高铁 是 几点 的 吗	7
请 给 我 调出 幺 零 零点 七 的 江都 人民 广播电台	3
放 一首 扬琴 版 的 梁祝	1
明天 深圳 会下 冰雹 吗	6
帮 我 把 热水器 温度 调到 50 度 吧	2
告诉 我 什么 时候 是 清明节	8
我 需要 你 提醒 我 7 : 10 出门	4
后天 的 农历 是 几号	8
播放 美国 电影 冰雪 奇缘	5
给 我 找出 5 月 27 日 17 点 播出 的 动漫	0
我 想 听 郭伟 主持 的 FM103.9	3
搜索 明天 山东 会 下雨 吗	6
现在 就 想 查查 下个月 二十 号 是不是 父亲节	8
给 我 找 一首 蔡琴 的 歌 听听	1
开启 明天 10 点 35 分 的 闹钟	4
频率 是 一零 一点 零 的 广东 卫星 可以 继续 收听 吗	3
我 想 播放 张信哲 的 下 一个 永远 中 的 白月光	1
广播剧 默读 的 预告 帮 我 播放	9
播放 欧美 动漫 超人	0
能否 将 17 点 40 的 闹钟 修改 成 16 : 20	4
我 想 打开 吸油烟机	2
我要 看 大陆 片 我 的 姐姐 这个 电影	5
帮 我 找 一个 做 肉松 饭团 的 视频	0
是不是 能 播放 一个 剧情片 奇妙 的 命运 呀	5
你 知道 阴历 5 月 22 是 阳历 几号	8
查询 下周 甘肃 气温 会 逐渐 升高 吗	6
能 继续 播放 美国 那个 电视剧 吗	5
有点 冷 啊 空调 帮 我 关掉	2
能 不能 来 一个 频率 是 九九 点 一 的 山东 文艺 广播电台 呢	3
帮 我 搜索 一些 音乐 电台	3
收听 文艺类 的 山东 文艺 广播电台	3
今天天气 太好了 ， 我 想 拍照 ， 帮 我 把 摄像机 设置 成连 拍 模式 吧	2
后天 有 冷空气 过来 不会 降温 不	6
坐 几路 车能 到 万达 广场 西门 啊	7
我 想 收听 频率 是 九 三点 四 的 晚安 电台	3
今天 10 点 的 闹钟 我 现在 想要 你 给 我 设好	4
北京 开往 上海 的 特快 列车 进站 了 吗	7
把 电扇 的 风速 调大 一些 太热 了	2
能 收到 的 日语 电台 给 我 随便 拨 一个	3
查查 昨天 应该 是 什么 节日	8
现在 告诉 我 长沙 去往 拉萨 的 动车 今天 有 吗	7
开始 播放 北京 音乐 广播 的 英文歌	3
9 月 9 是 什么 节	8
湖南 五天 后 有 台风 吗	6
现在 还是 想 继续 看 下 一站 幸福 呢	5
今天 播放 最火 的 瘦 脸操	0
今天下午 三点 的 提醒 定好 了 么	4
查询 纽约 近期 的 温度	6
查看 查看 后天 12 点去 广州 的 D21 二等 座 还有 吗	7
告诉 他 知道 深圳 去往 丽江 的 动车 今天 有 吗	7
播放 5 月 16 号 上午 10 点 的 英雄 联盟 竞技 赛 视频	0
动漫 铁臂 阿童木 帮 我 找 一下 吧	0
想 听 最好 的 都 给 你 了 ， 要余 佳运 给 我 唱	1
请 给 我 播放 2016 年 美国 电视剧 黑吃黑 第四季 花絮	0
XYG 比赛 的 视频 帮 我 找 一下	0
今天下午 3 点 的 提醒 改 下 铃声	4
能 给 我 来 一个 2021 年 的 古典音乐 不 呢	1
想 听 英文 专辑 了 ， 就 第 stay   with   you 吧 ， 林俊杰 的	1
能 播放 一下 有 范冰冰 出演 的 电视剧 秦始皇 么	5
郑州 上 月 下雪 了 吗	6
请问 一下下 周日 是 几号	8
FM969 东营 生活 广播节目 给 我 放 一下	3
去年 的 谷雨 是 周几	8
帮 我 搜索 一下 CCTV2 的 一槌定音	11
去年 台湾 有个 都市 片 ， 奇幻 题材 的 帮 我 播放	5
立即 设置 一个 9 点 提醒 我 关灯 的 闹铃	4
从 回 学校 的 几条 路线 中 找 一条 最优 的 给 我	7
完美 降落 播放 ， 法老 他们 合唱 的	1
我 明天 下午 的 闹钟 取消	4
找到 内蒙古草原 之声 的 故事会 听听	3
我 想 知道 下午 2 点有 重庆 始发 到 济南 的 动车 吗	7
这个 空调 温度 太高 了 ， 调低 一点儿	2
西藏 后天 晚上 八点 会 下雪 吗 ？	6
港片 新 喜剧之王 播放 一下 可以 吗	5
请 不要 忘记 通知 我 在 5 月 30 号 去 打 狂犬 疫苗	4
随机 播放 一首 纯音乐 。	1
小猪 佩奇 是 美国 的 吗 播放 一下 看看	0
将 空调 切换 到 省 电 模式 行不行 呢	2
我 想 查看 北京 未来 十五天 的 天气	6
取消 今天 晚上 9 点 的 那个 提醒	4
告诉 我 后天 12 点去 广州 的 T11 火车票 还有 吗	7
开启 水浸 传感器	2
能 不能 给 我订 一张 大理 飞 北京 的 航班 头等舱 票	7
明天 兴义 会晴 吗	6
能 不能 播放 一个 1999 年 拍 的 电视剧 啊	5
立刻 新建 一个 备忘录 3 : 50 提醒 我 放鞭炮	4
每 周末 上午 去学 游泳 ， 闹钟 叫 我	4
叶纯 的 城市 声音 帮 我 播放 一下	3
上午 电视 演 的 的 都市 朋友圈 都 讲 了 些 什么 我 想 看 下	11
5 月 27 日雨下 解说 更新 了 变异 食人花 吞噬 大 僵尸 的 游戏 视频 吗	0
把 空调 风速 调大 再 调大	2
给 我 放 乱世佳人 这 一部 爱情 类 电影 。	5
4 月 10 日 和 4 月 9 日 哪天 是 星期三	8
创建 一个 周六 晚上 8 点 跟 朋友 去 看 电影 的 闹钟 。	4
星期天 下午 3 点 的 时候 不要 再 提醒 我 看 极寒 风暴	4
4 月 25 日 讲解 的 兰陵王 怒 抓 孙悟空 的 游戏 视频 可以 给 我 找 一下 吗	0
请 按 随机 播放 一首 张杰 的 中文歌曲	1
我 想 看 高伟宁 、 吉 小龙 执导 的 我 怕 来不及	5
夜晚 听 老 谭 的 老 谭 讲故事 很 不错 ， 在 杭州 新闻广播 播放	3
给 我 放 一下 易建联 的 篮球比赛 视频	0
这 几天 香港 穿衣 适合 啥	6
给 我 找到 陕西 戏曲 广播 按 时间 顺序 播放 里面 的 花鼓戏 节目	3
把 电扇 风速 升 到 最大	2
找到 美国 的 科幻 大片 给 我 看 一个 可以 吗	5
听 一下 英文歌   给 我 找 FM88 点 7	3
今年 的 那达慕 什么 时候 举行	8
今晚 AG 超玩会 梦泪 有没有 直播 王者 荣耀	0
播 一首 运动 风格 的 中文歌曲	1
赶快 帮 我 播放 江苏 新闻广播 的 电台节目 高爽 说法	3
看 一眼 去往 南平 的 动车 哪天 有票 啊	7
快给我 查询 最快 去 一班 长春 去 上海 的 机票 还有 几张	7
嗯 呐 朱莉 主演 的 电视剧 朱莉 快逃 播放 给 我 看看 可以 吗	5
查 一下 武汉 至 成都 的 机票价格 。	7
建立 提醒 5 月 19 号 上网 课	4
来 一个 战争片 雪豹 给 我 吧	5
香港 降雨 情况 怎么样	6
马上 瞅 瞅 几月 几号 是 建党 节	8
打开 腾讯 视频 把 昨天 放 的 奔跑 吧 兄弟 再 给 我 重播 一遍	0
我要 听 北京 交通广播 的 1039 交通 服务 热线	3
赶紧 说 说 几月 几号 是 这个 周一 呢	8
帮忙 帮 冰箱 开启 节能 模式	2
给 我 搜索 一下 沈腾演 的 综艺 王牌 对 王牌 第 6 季	0
立即 搜索 保定 紫外线 指数	6
现在 只能 看 美国 的 吸血鬼 日记	5
给 查找 南京 飞往 悉尼 的 航班 哪天 有票	7
给 我 继播 一下 我 前面 看 的 言情剧 呢	5
播放 一下 频率 是 一零 五点 六 的 扬中 人民 广播电台	3
今年 的 寒露 是 几月 几号	8
看看 8 号 上海 是不是 要 下雨 呢	6
查询 星期三 是 什么 节日 呢	8
今天下午 降雨量 多少	6
以后 不用 每天 提醒 我 学习 了	4
周二 乌鲁木齐 能晴 吧 ？	6
初爱 里面 的 歌 可以 随机 唱 一首 吗	1
我 想 立刻 观看 一个 日本 的 喜剧 ， 古代 的	5
创建 明天 晚上 9 点 看 直播 的 日程	4
查询 大理 周日 会 大面积 降雨 吗	6
放 一下 灵剑尊 的 第 178   179 集 我 想 看	0
为 我 外公 播放 阿朗 演播 中国 乡村 之声 的 乡村 夜话	3
3 月 18 日 那天 电影台 有 啥 电影 好看 ， 帮 我 看 下	11
王者 荣耀 的 比赛 视频 给 我 找 一下	0
可以 在 搜狐 上 播放 娘道 吧	5
我 想 听 音乐 之声 广播	3
查 一下 今天 南京 的 最高 气温	6
请 把 7 月 10 号 到 7 月 29 号 的 日程 全部 删除	4
请 重听 频率 是 一零 五点 三 的 盐城 人民 经济 台	3
南京 新街口 怎么 走 ， 为 我 导航 一下 啦	7
我要 看 经济 类 的 经济 之声	3
FM92.4 海上 戏剧 麻烦 帮 我 找 一下	3
我 想 看 2017 年 的 贪吃蛇 大 作战 的 游戏 解说 视频	0
放 一个 欧阳 娜娜 的 电视剧 幕后 花絮	0
查 一下 到 洛杉矶 的 机票	7
甄子丹 刘德华 演 的 追龙 现在 给 我 放	5
查询 杭州 的 紫外线 这 几天 高 么	6
星期 几是 国庆节	8
给 我 播放 一个 韩国 2021 年 的 电视剧 可以 吗	5
播放 香格里拉 最新 的 紫外线 指数	6
给 我 回放 5 月 21 日 的 奔跑 吧 第 5 季 精彩 部分	0
查询 明天 江苏 会 大面积 降雨 吗	6
帮 我 创建 后天 中午 两点 取 快递 的 日程	4
给 我 播放 一个 法国 纪录片 脸庞 村庄 吧	0
快点 告诉 我 一下 吕梁 始发 的 动车 哪天 有票	7
你 在 早上 九点 的 时候 提醒 我装 电话卡	4
我要 看 大陆 片 横空出世 这个 电影	5
林俊杰 的 专辑 乐行者 随机 播放 吧	1
看看 九月 有 流星雨 的 那天 是 几号	8
设置 一个 明天 早上 9 点去 参加 朋友 婚礼 的 闹钟 。	4
赶紧 告诉 我 农历 5 月 5 是 什么 节日	8
今天 需要 洗 两件 真丝 衣物 ， 帮 我 切换 到 丝绸 洗 吧	2
马上 就让 我 知道 汉堡 始发 的 飞机 是 几点 的 呢	7
你 现在 就 告诉 我 答案 几月 几号 是 这个 礼拜六 啊	8
南京 紫外线 强 吗	6
请 播放 中央人民广播电台 的 经济 之声	3
讲 一下 打火 匣 的 故事 英文版 的	9
提醒 我 周日 上午 8 点去 交 电费	4
6 : 25 提醒 我 去 拿 饭盒 删除 这个 提醒	4
不要 忘 了 在 18 点半 提醒 我 打 微信 电话 给 小明	4
放 一个 听海 的 翻唱 视频 看	0
动漫 黑衣人 第一季 帮 我 找 一下 吧	0
治愈 系 的 钢琴曲 能 随便 来个 听 吗	1
给 我 来 一个 吴倩 拍摄 我 只 喜欢 你 的 现场 花絮	0
给 我 准备 今年 甘肃 的 降水量	6
查下 盐城 未来 三天 的 天气	6
继续 看 一会 宫斗剧 如懿传 可以 吗	5
告诉 我 台湾 这周 有 台风 吗	6
六一 儿童节 的 农历 是 几号	8
今天 4 点 40 的 闹钟 帮 我 删除	4
空调 风速 要 最高 最强	2
准时 收听 大铭 的 快乐 早点 到	3
明天 一定 要 记得 提醒 我 买 水票	4
能 不能 播放 一个 李易峰 的 古装剧 看看 ， 除了 古剑 之外	5
播放 刘谦 在 2018 年春 晚上 魔术 表演 的 视频	0
顺序 播放 李健 的 歌曲	1
1999 年 发行 的 歌 都 播放 一遍 呢	1
随机 来 一首 欢快 一点 的 浪漫 情歌 吧	1
我 需要 你 播放 犯罪 电视剧 毛骗 第一部	5
来 一首 差 一步 里 的 歌儿	1
设置 20 号 上午 看 车展 的 闹钟	4
19 点有 珠海 始发 去 汕头 的 长途车 不	7
帮 我 创建 一个 12 号 上午 9 点 参加 姥姥 的 生日 宴 的 闹钟 。	4
到 轻工 技工学校 怎么 走	7
七点 我 想 看 一下 18 年 岳云鹏 孙越 爆笑 相声 合辑	0
把 空调 调高 10 度 可以 吗	2
播放 欧美 动漫 精灵 鼠 小弟	0
可以 播放 郑凯演 的 密查 吧	5
怎么 到 湘江 世纪 城 啊	7
石家庄 今天 最高 几度	6
播放 一首 应景 儿 的 《 回到 拉萨 》 ， 我要 郑钧 的	1
动作片 李冰冰 主演 的 风声	5
FM103 点 7 的 中国 之 声调 那里 去	3
银临 、 河图 的 专辑 蚍蜉 渡海 播放	1
3 月 10 号 下午 三点 的 提醒 请 不要 提醒 我	4
今天 到 武汉 来不及 了 ， 找 一个 明天 最早 的 高铁	7
给 我播 一下 100.8 的 电台节目	3
告诉 我 大前天 是 农历 多少	8
我 想 听 金莎唱 的 爱 的 魔法 这首 流行音乐	1
今年 的 愚人节 是 什么 时候	8
岳阳 明天 会 下雨 吗 ？	6
想带 孩子 出去玩 今天 杭州 天气 如何	6
我 需要 你 来 一首 许嵩 的 认错 呢	1
六月 末 穿 裙子 去 武功山 会 冷 吗	6
我要 听 97.6 北京 人 名 广播电台 音乐台	3
韩国 2015 年 上 的 电影 魔女 给 我 播放 一下 吧	5
狐 妖 小 红娘 播放 动漫 类 的	0
大后天 大同 是 多云转晴 的 天气 吗	6
今天 更新 的 地平线 4 的 相关 视频 放 一个 哈	0
想 去 博物院 ， 这 周末 天气 怎么样 呢 ？	6
听 一个 林溪 主持 的 毛泽东 的 故事	3
我 想 你 帮 我 记住 5 月 22 号 是 我 妈妈 生日	4
我 想 看 2021 年 世界 女排 联赛 中国女排 VS 韩国 女排 的 比赛 视频	0
我 准备 看 电影 了 ， 把 灯 调暗 一些 ， 调 到 观影 模式 。	2
雨天 在 丽江 骑车 可以 吗	6
下周一 早上 9 点去 苏瓦 的 经济舱 。	7
明天 紫外线 怎么样	6
游泳池 蓄水 打开	2
今年 的 中秋节 是 九月 几日	8
开车 走 国道 的 去 福州 该 怎么 走 告诉 我 一下 呗	7
近期 山东 穿衣 指数 如何	6
9 月 15 号 是 星期 几 啊	8
把 风速 开到 6 了 吧 空调 的	2
找 一下 每周三 ， 20 点 更新 的 国产 动漫	0
我 想 连 着 上次 看 的 那个 迪丽 热巴 的 那个 剧看	5
你 好好 给 我 看看 蚌埠 始发 的 高铁 是 7 点 的 吗	7
音乐 类 的 魅力 103 来 听听	3
后天 有风 吗 公主岭 这里	6
中华 之声 播放 ， 就是 白强 主持 的 那个	3
帮 我 把 电饭煲 调 成 煮饭 模式 。	2
查询 中国 的 阴历 正月 19 日 是 星期 几 呢	8
只 打开 今天下午 的 闹钟	4
找出 5 月 27 日 22 点 播出 的 动漫	0
我要 陈 小熊 的 歌儿   济南 济南 吧	1
请 播放 吴涤 清版 的 《 梅兰 梅兰 我爱你 》	1
看 一下 4 月 21 日 是 阴历 多少	8
看快 进 播放 的 三十 集 风暴 舞	5
空调 风速 调 高 百分之 25	2
找 陈奕迅 2020 年 在 上海 的 演唱会 视频 来放	0
能 帮 我 把 空调 温度 调到 22 度 吗	2
美国 的 大蒜 节是 几月 几号	8
请 播放 由 张子枫 主演 的 电影 我 的 姐姐 。	5
厦门 飞往 洛杉矶 的 航班 明天 有票 不	7
继续 播放 琉璃 第 10 集 之后 的 剧集	5
明天 12 点飞 北京 的 机票 还有 没有 了	7
增加 一个 早上 11 : 30 提醒 我交 停车费 的 备忘录	4
上海 这 周末 空气 湿度 多少	6
在 13 : 30 通知 我 关闭 火影忍者	4
我 出门时 忘记 关 电脑 了 ， 帮 我 关掉 它	2
明天 能到 15 度 吗	6
设置 明天 晚上 10 点上 淘宝 抢 东西 的 闹钟 。	4
是不是 可以 播放 一下 今年 爱上 男声 FM 呢	3
放 一首 萨克斯 演奏 的 古典音乐	1
播 一下 晚上 20 点 更新 的 完美 的 他 的 介绍 视频	0
我 想 听 英文 的 情歌 呢	1
能 不能 帮 我 报 下星期 几是 农历 的 2 月初 1	8
到 南阳 怎么 走 啊	7
立即 搜索 玉田 紫外线 指数	6
立刻 播放 一下 武藤兰 的 日本 电视剧 呢	5
lisa 跳 attention 的 视频 还有 吗 我 有点 想 看	0
立即 查看 大连 海边 的 风向 和 湿度	6
查询 明天 秦皇岛 下 大雨 情况	6
查找 国产 动漫 镇魂 街 第二季	0
顺序 播放 周杰伦 的 专辑 七里香 里面 的 歌	1
恶魔 在 身边 台湾 偶像剧 1 点 25 倍速 播放	5
这 一生 关于 你 的 风景 ， 我要 听 隔壁 老樊唱 的	1
元宵节 在 几月	8
提醒 我 周末 下午 5 点见 男友 。	4
客厅 的 灯 有点 暗 ， 帮 我 把 灯 调亮些 吧	2
收听 频率 是 八九点 零 的 襄樊 交通 音乐台	3
我 想 你 给 我 播放 一首 表达 爱意 的 钢琴曲 呢	1
五大连池 最近 是 晴天 吗	6
5 月 30 号 3 : 10 给 我定 个 闹钟	4
长春 气温 会 逐步 升高 吗	6
定 周三 早上 8 点 的 闹钟	4
播放 欧美 动漫 正义 联盟	0
给 我 找 一下 2021 年 央视 元宵 晚会 的 魔术 视频 放 来看	0
我 想 知道 12 月 6 日去 米兰 的 经济舱 价格 。	7
单曲 循环 一下 名 侦探 柯南 里面 的 主题曲 吧	1
明天 中午 12 点 跟 朋友 去 吃饭 的 闹钟 帮 我定 一下 。	4
黄安 90 年代 的 歌 随机 来 一首 可以 吗	1
是不是 能 帮 我 播放 台湾 艺人 林心如 的 戏	5
规划 一下 到 儿童医院 的 路线	7
帮 我 找到 抚州 的 路线	7
